"ToolName","Folder","OfficialUrl","RiskLevel","LicenseNote","WhenToUse","FixesOrHelpsWith","Notes"
"TestDisk and PhotoRec","Tools\03_Backup_Data_Recovery","https://www.cgsecurity.org/wiki/TestDisk_Download","Data-risk if writing repairs","Open source GPL.","Lost partitions or deleted files.","Partition and file recovery.","Recover to different drive."
"CrystalDiskInfo","Tools\02_Diagnostics_Hardware","https://crystalmark.info/en/software/crystaldiskinfo/","Read-only","Open source; verify terms.","Drive health check.","SMART status and warnings.","Check first on slow/no-boot PCs."
"HWiNFO","Tools\02_Diagnostics_Hardware","https://www.hwinfo.com/download/","Read-only","Commercial/shop use may require license.","Hardware sensors and inventory.","Thermals, throttling, hardware IDs.","Check commercial license."
"smartmontools","Tools\02_Diagnostics_Hardware","https://www.smartmontools.org/wiki/Download","Read-only by default","Open source GPL.","Command-line SMART checks.","Detailed drive health logs.","USB bridges may hide SMART."
"Snappy Driver Installer Origin","Tools\07_Drivers_Firmware","https://www.snappy-driver-installer.org/","Changes Windows","Open source; verify terms.","Missing drivers after reinstall.","Offline driver install.","Prefer OEM first when possible."
"Dell Command Update","Tools\07_Drivers_Firmware","https://www.dell.com/support/kbdoc/en-us/000177325/dell-command-update","Firmware risk","Dell terms apply.","Dell drivers/firmware.","Dell updates.","Use AC power."
"HP Image Assistant","Tools\07_Drivers_Firmware","https://ftp.ext.hp.com/pub/caps-softpaq/cmit/HPIA.html","Firmware risk","HP terms apply.","HP drivers/firmware.","HP updates.","Best for HP business systems."
"Lenovo System Update","Tools\07_Drivers_Firmware","https://www.lenovo.com/us/en/software/lenovo-system-update/","Firmware risk","Lenovo terms apply.","Lenovo drivers/firmware.","Lenovo updates.","Use AC power."
"Intel Driver and Support Assistant","Tools\07_Drivers_Firmware","https://www.intel.com/content/www/us/en/support/detect.html","Changes Windows","Intel terms apply.","Intel component drivers.","Wi-Fi, Bluetooth, graphics, chipset.","OEM drivers may be preferred."
"WizTree","Tools\09_Cleanup_TuneUp","https://diskanalyzer.com/download","Read-only until deleting","Check commercial terms.","Find large files.","Fix full-drive problems.","Get customer approval before deleting."
"Everything","Tools\09_Cleanup_TuneUp","https://www.voidtools.com/downloads/","Read-only","Freeware; verify terms.","Fast file search.","Find customer files for backup/cleanup.","Does not decide safe deletion."
"7-Zip","Tools\11_Utilities","https://www.7-zip.org/download.html","Low risk","Open source LGPL.","Extract tool downloads.","Archive support.","Useful on bench."
"Notepad++","Tools\11_Utilities","https://notepad-plus-plus.org/downloads/","Low risk","Open source GPL.","Review logs/scripts/configs.","Better text editing.","Install only with approval."
"Ninite","Tools\10_PostRepair_Installers","https://ninite.com/","Changes Windows","Check Ninite terms for shop/business use.","Post-repair app install.","Fast common app setup.","Choose apps with approval."
"Wireshark","Tools\08_Network","https://www.wireshark.org/download.html","Privacy-sensitive","Open source GPL.","Deep network troubleshooting.","Packet capture.","Use only with consent."
"Nmap","Tools\08_Network","https://nmap.org/download","Authorization-sensitive","Check Nmap license.","Authorized network discovery.","Open port/service checks.","Use only with authorization."
"Advanced IP Scanner","Tools\08_Network","https://www.advanced-ip-scanner.com/download/","Authorization-sensitive","Check license.","LAN device discovery.","Find devices on local network.","Authorized networks only."

